STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
BTC,D,41,M FLOW,19990116 0000,19990116 0000,7387, ,CFS
BTC,D,41,M FLOW,19990117 0000,19990117 0000,7824, ,CFS
BTC,D,41,M FLOW,19990118 0000,19990118 0000,10183, ,CFS
BTC,D,41,M FLOW,19990119 0000,19990119 0000,14191, ,CFS
BTC,D,41,M FLOW,19990120 0000,19990120 0000,13387, ,CFS
BTC,D,41,M FLOW,19990121 0000,19990121 0000,15261, ,CFS
BTC,D,41,M FLOW,19990122 0000,19990122 0000,20041, ,CFS
BTC,D,41,M FLOW,19990123 0000,19990123 0000,21686, ,CFS
BTC,D,41,M FLOW,19990124 0000,19990124 0000,27807, ,CFS
BTC,D,41,M FLOW,19990125 0000,19990125 0000,23295, ,CFS
BTC,D,41,M FLOW,19990126 0000,19990126 0000,20817, ,CFS
BTC,D,41,M FLOW,19990127 0000,19990127 0000,19034, ,CFS
BTC,D,41,M FLOW,19990128 0000,19990128 0000,17018, ,CFS
BTC,D,41,M FLOW,19990129 0000,19990129 0000,14860, ,CFS
BTC,D,41,M FLOW,19990130 0000,19990130 0000,13226, ,CFS
BTC,D,41,M FLOW,19990131 0000,19990131 0000,11939, ,CFS
